15890366051589533-APPLE.mp4,15890366051589533-APPLE.npy
35618482303951104-IMPOSSIBLE.mp4,35618482303951104-IMPOSSIBLE.npy
6958143575951994-PARK.mp4,6958143575951994-PARK.npy
8006032738002744-SOCCER 2.mp4,8006032738002744-SOCCER 2.npy
37542279833186454-STINK.mp4,37542279833186454-STINK.npy
9498964909837952-ROSE.mp4,9498964909837952-ROSE.npy
9618808117704574-HUG.mp4,9618808117704574-HUG.npy
15543213389651633-TUBE.mp4,15543213389651633-TUBE.npy
9162908944303221-COUNT.mp4,9162908944303221-COUNT.npy
14154575310664197-NICE.mp4,14154575310664197-NICE.npy
996512226187074-EASY TO_DO.mp4,996512226187074-EASY TO_DO.npy
0033742275375785447-INFLUENCE.mp4,0033742275375785447-INFLUENCE.npy
02808154918358552-PEACOCK.mp4,02808154918358552-PEACOCK.npy
8068093518563271-CIRCUSWHEEL.mp4,8068093518563271-CIRCUSWHEEL.npy
6652814499755777-NOSE.mp4,6652814499755777-NOSE.npy
23247991626849585-GYM.mp4,23247991626849585-GYM.npy
20880000068819649-WEAVE.mp4,20880000068819649-WEAVE.npy
13621431540213602-SMOOTH.mp4,13621431540213602-SMOOTH.npy
4520498201410337-BACKPACK.mp4,4520498201410337-BACKPACK.npy
16994877911771145-WE.mp4,16994877911771145-WE.npy
7090729284366466-DOWNHILL.mp4,7090729284366466-DOWNHILL.npy
19003684436528423-JUICE 2.mp4,19003684436528423-JUICE 2.npy
8221969382671432-SCOLD.mp4,8221969382671432-SCOLD.npy
12338257144617781-POWDER.mp4,12338257144617781-POWDER.npy
7480838717347633-SOCIAL.mp4,7480838717347633-SOCIAL.npy
6523179384259175-PULL CONVINCE.mp4,6523179384259175-PULL CONVINCE.npy
7448818785190525-CAPTURE.mp4,7448818785190525-CAPTURE.npy
02551571232229133-PONDER.mp4,02551571232229133-PONDER.npy
8643853796183107-JOKE.mp4,8643853796183107-JOKE.npy
8782764153522997-SOCIETY.mp4,8782764153522997-SOCIETY.npy
7316392299762329-WATERDROP.mp4,7316392299762329-WATERDROP.npy
21344274764159632-ANYONE.mp4,21344274764159632-ANYONE.npy
2381384470099226-MAPLE.mp4,2381384470099226-MAPLE.npy
44939873429204336-CEMETERY.mp4,44939873429204336-CEMETERY.npy
48967843716521897-FAIL.mp4,48967843716521897-FAIL.npy
5670505226343947-KNIGHT.mp4,5670505226343947-KNIGHT.npy
6235541652821013-ALL OF_SUDDEN.mp4,6235541652821013-ALL OF_SUDDEN.npy
9037793072145501-TOTAL.mp4,9037793072145501-TOTAL.npy
9060451576078816-COOL 3.mp4,9060451576078816-COOL 3.npy
03909340585346133-FASHION.mp4,03909340585346133-FASHION.npy
6831527585028447-LONG AGO.mp4,6831527585028447-LONG AGO.npy
34318091362618364-BECOME.mp4,34318091362618364-BECOME.npy
001428415918161674-IMPROVE.mp4,001428415918161674-IMPROVE.npy
5266228840785678-UNCERTAIN.mp4,5266228840785678-UNCERTAIN.npy
1676037390807208-GREET.mp4,1676037390807208-GREET.npy
03369501517929252-PROPOSE.mp4,03369501517929252-PROPOSE.npy
36286598060839914-TOSS OUT.mp4,36286598060839914-TOSS OUT.npy
42981546208191546-SQUARE.mp4,42981546208191546-SQUARE.npy
8517954107198269-EMPTY 2.mp4,8517954107198269-EMPTY 2.npy
9228494689014171-PACK.mp4,9228494689014171-PACK.npy
6508465822424006-THANK YOU.mp4,6508465822424006-THANK YOU.npy
721478559560571-EACH OTHER.mp4,721478559560571-EACH OTHER.npy
23746553103054158-PRECIOUS.mp4,23746553103054158-PRECIOUS.npy
7054741400093962-WILL GO.mp4,7054741400093962-WILL GO.npy
6490408879992484-LAY DOWN.mp4,6490408879992484-LAY DOWN.npy
5880724478842327-PARANOID.mp4,5880724478842327-PARANOID.npy
7552681133614059-ALASKA.mp4,7552681133614059-ALASKA.npy
6585783944135442-EXPERIMENT.mp4,6585783944135442-EXPERIMENT.npy
7721480534101262-EVERY NIGHT.mp4,7721480534101262-EVERY NIGHT.npy
2911495969703426-GET TOGETHER.mp4,2911495969703426-GET TOGETHER.npy
7054386695414354-STORY 3.mp4,7054386695414354-STORY 3.npy
07792809391288658-SQUEEZE.mp4,07792809391288658-SQUEEZE.npy
7958435331951532-REMOVE.mp4,7958435331951532-REMOVE.npy
0020443210100780096-KNOCK OFF.mp4,0020443210100780096-KNOCK OFF.npy
44178831586926837-MOSQUITO.mp4,44178831586926837-MOSQUITO.npy
9533248897839621-BETWEEN.mp4,9533248897839621-BETWEEN.npy
81146496428304-TOY 3.mp4,81146496428304-TOY 3.npy
8058014641528197-SPICY.mp4,8058014641528197-SPICY.npy
008279096911288919-JEWELRY.mp4,008279096911288919-JEWELRY.npy
6743634201232205-BULLSHIT.mp4,6743634201232205-BULLSHIT.npy
31263202270120893-ADVANTAGE.mp4,31263202270120893-ADVANTAGE.npy
4923163326429678-WHISPER.mp4,4923163326429678-WHISPER.npy
8212971647934255-SIGN PAPER.mp4,8212971647934255-SIGN PAPER.npy
4066959996902433-THERAPY.mp4,4066959996902433-THERAPY.npy
3628340866937836-DONT FEEL_LIKE.mp4,3628340866937836-DONT FEEL_LIKE.npy
6742655874522336-COMMUNITY.mp4,6742655874522336-COMMUNITY.npy
19749527870729988-CLIENT.mp4,19749527870729988-CLIENT.npy
7809503445047001-BREAKFAST.mp4,7809503445047001-BREAKFAST.npy
2002285518954443-TURN.mp4,2002285518954443-TURN.npy
6796499805319471-CORNER.mp4,6796499805319471-CORNER.npy
5290373884784241-HATBRIM.mp4,5290373884784241-HATBRIM.npy
5064877659011977-GOODY GOODY_SHOE_OPPOSITE.mp4,5064877659011977-GOODY GOODY_SHOE_OPPOSITE.npy
7069069415498499-CASTLE 2.mp4,7069069415498499-CASTLE 2.npy
5837296033724944-LEND.mp4,5837296033724944-LEND.npy
8684706324228275-SOPHOMORE.mp4,8684706324228275-SOPHOMORE.npy
19379537971333316-SUPERVISOR.mp4,19379537971333316-SUPERVISOR.npy
24683104585018412-SWEAR IN.mp4,24683104585018412-SWEAR IN.npy
35976901957453444-INSTITUTE.mp4,35976901957453444-INSTITUTE.npy
031670126370264784-LICK ENVELOPE.mp4,031670126370264784-LICK ENVELOPE.npy
4409418046134761-PERCEIVE.mp4,4409418046134761-PERCEIVE.npy
6069671516966564-STUMBLE.mp4,6069671516966564-STUMBLE.npy
010850214999561736-CELEBRATE.mp4,010850214999561736-CELEBRATE.npy
13244724399416663-TOSS.mp4,13244724399416663-TOSS.npy
038446216989295845-WIDE.mp4,038446216989295845-WIDE.npy
9076828716002219-PEEL 2.mp4,9076828716002219-PEEL 2.npy
49288220098651747-DOG.mp4,49288220098651747-DOG.npy
6750594223002664-FLOAT 3.mp4,6750594223002664-FLOAT 3.npy
31649691891683207-THEORY.mp4,31649691891683207-THEORY.npy
6343693205934693-SHORT WORD.mp4,6343693205934693-SHORT WORD.npy
27469263568791-LABEL.mp4,27469263568791-LABEL.npy
13187210101793911-FIRED.mp4,13187210101793911-FIRED.npy
8450645349294537-ADVERTISE.mp4,8450645349294537-ADVERTISE.npy
45613794376693106-DEMOTE.mp4,45613794376693106-DEMOTE.npy
7568259630004095-INHALE.mp4,7568259630004095-INHALE.npy
654679171689897-APPLE.mp4,654679171689897-APPLE.npy
5868753228914183-IMPOSSIBLE.mp4,5868753228914183-IMPOSSIBLE.npy
5662880671112962-PARK.mp4,5662880671112962-PARK.npy
23750861250634614-STINK.mp4,23750861250634614-STINK.npy
15747884716509963-ROSE.mp4,15747884716509963-ROSE.npy
5460269220331138-HUG.mp4,5460269220331138-HUG.npy
10215603974987486-TUBE.mp4,10215603974987486-TUBE.npy
8675914629662917-COUNT.mp4,8675914629662917-COUNT.npy
18199086230023087-NICE.mp4,18199086230023087-NICE.npy
6022620990262424-EASY TO_DO.mp4,6022620990262424-EASY TO_DO.npy
4713001664096925-INFLUENCE.mp4,4713001664096925-INFLUENCE.npy
4499250795706189-CIRCUSWHEEL.mp4,4499250795706189-CIRCUSWHEEL.npy
27103930782829466-NOSE.mp4,27103930782829466-NOSE.npy
9121237989915896-GYM.mp4,9121237989915896-GYM.npy
6416278179941874-WEAVE.mp4,6416278179941874-WEAVE.npy
8801673159859185-SMOOTH.mp4,8801673159859185-SMOOTH.npy
8875256912597131-BACKPACK.mp4,8875256912597131-BACKPACK.npy
5346957049353451-WE.mp4,5346957049353451-WE.npy
3237841089626472-DOWNHILL.mp4,3237841089626472-DOWNHILL.npy
8673853297757075-JUICE 2.mp4,8673853297757075-JUICE 2.npy
7275461608600278-SCOLD.mp4,7275461608600278-SCOLD.npy
8342259238668124-POWDER.mp4,8342259238668124-POWDER.npy
2501721560408141-SOCIAL.mp4,2501721560408141-SOCIAL.npy
2746482938137922-CAPTURE.mp4,2746482938137922-CAPTURE.npy
7476109931780017-PONDER.mp4,7476109931780017-PONDER.npy
33372376790577385-JOKE.mp4,33372376790577385-JOKE.npy
8763478538813974-SOCIETY.mp4,8763478538813974-SOCIETY.npy
6019042581182006-WATERDROP.mp4,6019042581182006-WATERDROP.npy
931782741467386-ANYONE.mp4,931782741467386-ANYONE.npy
5418273984027029-CEMETERY.mp4,5418273984027029-CEMETERY.npy
3810108088744719-FAIL.mp4,3810108088744719-FAIL.npy
